sno,coordinate,from_station_id_num,station_name,latitude,longitude
0,"(47.6242649, -122.3167398)",20,12th Ave & E Mercer St,47.6242649,-122.3167398
1,"(47.61848939999999, -122.3252807)",11,Summit Ave & E Denny Way,47.6184894,-122.3252807
2,"(47.6172908, -122.3194892)",17,Cal Anderson Park / 11th Ave & Pine St,47.6172908,-122.3194892
3,"(47.6138725, -122.3543752)",55,Pier 69 / Alaskan Way & Clay St,47.6138725,-122.3543752
4,"(47.6132814, -122.3443347)",3,2nd Ave & Blanchard St,47.6132814,-122.3443347
5,"(47.6231435, -122.3253339)",13,Summit Ave E & E Republican St,47.6231435,-122.3253339
6,"(47.6487938, -122.323425)",26,Eastlake Ave E & E Allison St,47.6487938,-122.323425
7,"(47.6583184, -122.3132228)",45,NE 42nd St & University Way NE,47.6583184,-122.3132228
8,"(47.634842, -122.326924)",25,E Blaine St & Fairview Ave E,47.634842,-122.326924
9,"(47.6152309, -122.3114723)",16,E Pine St & 16th Ave,47.6152309,-122.3114723
10,"(47.6245487, -122.3397414)",22,9th Ave N & Mercer St,47.6245487,-122.3397414
11,"(47.6507267, -122.3111987)",53,UW Magnuson Health Sciences Center Rotunda / Columbia Rd & San Juan Rd,47.6507267,-122.3111987
12,"(47.6177761, -122.3383472)",35,PATH / 9th Ave & Westlake Ave,47.6177761,-122.3383472
13,"(47.6606303, -122.3105904)",49,Burke Museum / E Stevens Way NE & Memorial Way NE,47.6606303,-122.3105904
14,"(47.6272634, -122.3314858)",24,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,47.6272634,-122.3314858
15,"(47.6152386, -122.3221221)",18,Harvard Ave & E Pine St,47.6152386,-122.3221221
16,"(40.6744625, -73.97545339999999)",4,7th Ave & Union St,40.6744625,-73.9754534
17,"(47.600506, -122.3332236)",30,Occidental Park / Occidental Ave S & S Washington St,47.600506,-122.3332236
18,"(47.6535921, -122.3015799)",52,UW Intramural Activities Building,47.6535921,-122.3015799
19,"(47.6271436, -122.3423225)",33,Dexter Ave N & Aloha St,47.6271436,-122.3423225
20,"(47.6102763, -122.3398094)",9,2nd Ave & Pine St,47.6102763,-122.3398094
21,"(38.9978346, -77.03442179999999)",7,2nd Ave & Spring St,38.9978346,-77.0344218
22,"(47.61876969999999, -122.3169302)",15,12th Ave & E Denny Way,47.6187697,-122.3169302
23,"(47.5983587, -122.3263627)",29,6th Ave S & S King St,47.5983587,-122.3263627
24,"(47.6152219, -122.3267992)",19,Bellevue Ave & E Pine St,47.6152219,-122.3267992
25,"(47.6039776, -122.3356)",6,1st Ave & Marion St,47.6039776,-122.3356
26,"(41.3998627, -81.5455532)",12,E Harrison St & Broadway Ave E,41.3998627,-81.5455532
27,"(47.603843, -122.3300454)",8,City Hall / 4th Ave & James St,47.603843,-122.3300454
28,"(47.62031, -122.329587)",32,REI / Yale Ave N & John St,47.62031,-122.329587
29,"(47.6232102, -122.3384361)",34,Republican St & Westlake Ave N,47.6232102,-122.3384361
30,"(47.66311349999999, -122.3152614)",47,NE 47th St & 12th Ave NE,47.6631135,-122.3152614
31,"(47.6159279, -122.340917)",2,6th Ave & Blanchard St,47.6159279,-122.340917
32,"(47.6562315, -122.3155856)",46,12th Ave & NE Campus Pkwy,47.6562315,-122.3155856
33,"(47.6661388, -122.3014797)",44,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,47.6661388,-122.3014797
34,"(47.6069397, -122.3240646)",27,Frye Art Museum / Terry Ave & Columbia St,47.6069397,-122.3240646
35,"(47.6205012, -122.3127264)",14,15th Ave E & E Thomas St,47.6205012,-122.3127264
36,"(47.6092282, -122.3177136)",28,Seattle University / E Columbia St & 12th Ave,47.6092282,-122.3177136
37,"(41.5842374, -93.6187236)",1,2nd Ave & Vine St,41.5842374,-93.6187236
38,"(47.6135254, -122.3320429)",37,Pine St & 9th Ave,47.6135254,-122.3320429
39,"(47.6553287, -122.3121139)",50,15th Ave NE & NE 40th St,47.6553287,-122.3121139
40,"(47.6626505, -122.285662)",23,Children's Hospital / Sandpoint Way NE & 40th Ave NE,47.6626505,-122.285662
41,"(47.6604594, -122.3046085)",48,UW McCarty Hall / Whitman Ct,47.6604594,-122.3046085
42,"(47.61627900000001, -122.333579)",41,Terry Ave & Stewart St,47.616279,-122.333579
43,"(47.6092253, -122.3357939)",5,Union St & 4th Ave,47.6092253,-122.3357939
