sno,Date,Bike_rented,Mean_Temperature_C,Max_Temperature_F,Min_TemperatureF,Max_Humidity,Min_Humidity,Visibility_Miles,Wind_Speed_MPH,Precipitation_In,Events_num,Events,month,year
80,2015-01-01,88,1,43,27,81,49,10,0,0,2,Rain,1,2015
81,2015-01-02,180,3,44,32,86,67,10,4,0.03,2,Rain,1,2015
82,2015-01-03,104,3,43,33,93,76,7,2,0,2,Rain,1,2015
83,2015-01-04,56,8,54,41,89,77,8,7,0.22,2,Rain,1,2015
84,2015-01-05,244,13,57,54,88,74,8,14,0.07,2,Rain,1,2015
85,2015-01-06,408,10,55,46,93,74,7,2,0.01,0,Fog,1,2015
86,2015-01-07,408,8,50,44,93,74,5,2,0,2,Rain,1,2015
87,2015-01-08,414,6,48,39,89,71,6,3,0,2,Rain,1,2015
88,2015-01-09,384,6,50,39,93,68,4,2,0.01,1,"Fog, Rain",1,2015
89,2015-01-10,152,7,48,44,93,83,3,1,0.18,2,Rain,1,2015
90,2015-01-11,110,8,51,46,89,80,5,1,0.06,1,"Fog, Rain",1,2015
91,2015-01-12,396,9,53,45,90,64,10,1,0,2,Rain,1,2015
92,2015-01-13,410,6,48,41,87,66,9,2,0,2,Rain,1,2015
93,2015-01-14,388,5,46,37,89,60,7,3,0,2,Rain,1,2015
94,2015-01-15,282,5,46,36,86,63,9,3,0.43,2,Rain,1,2015
95,2015-01-16,402,10,55,44,87,57,10,8,0,2,Rain,1,2015
96,2015-01-17,110,7,55,39,90,73,6,1,0.76,2,Rain,1,2015
97,2015-01-18,96,12,60,48,82,67,9,14,0.23,2,Rain,1,2015
98,2015-01-19,264,9,52,46,83,66,10,5,0.03,2,Rain,1,2015
99,2015-01-20,484,7,51,39,87,59,10,1,0,2,Rain,1,2015
100,2015-01-21,416,4,48,33,93,66,6,1,0,2,Rain,1,2015
101,2015-01-22,396,8,52,45,87,76,9,1,0.03,2,Rain,1,2015
102,2015-01-23,310,12,57,50,89,76,8,6,0.08,2,Rain,1,2015
103,2015-01-24,212,14,62,55,87,75,10,7,0.02,6,Sunny,1,2015
104,2015-01-25,206,13,64,50,86,54,10,3,0.01,2,Rain,1,2015
105,2015-01-26,378,12,64,46,93,52,7,4,0,2,Rain,1,2015
106,2015-01-27,336,11,55,50,88,80,6,6,0.02,2,Rain,1,2015
107,2015-01-28,456,10,55,46,87,64,10,2,0,2,Rain,1,2015
108,2015-01-29,462,8,55,42,85,57,10,1,0,2,Rain,1,2015
109,2015-01-30,412,6,48,39,96,71,3,1,0,2,Rain,1,2015
110,2015-01-31,206,5,46,39,89,76,4,1,0,2,Rain,1,2015
111,2015-02-01,92,8,51,44,87,76,7,5,0.04,2,Rain,2,2015
112,2015-02-02,254,10,55,44,87,66,7,5,0.3,2,Rain,2,2015
113,2015-02-03,346,8,52,44,93,74,8,5,0.03,1,"Fog, Rain",2,2015
114,2015-02-04,316,8,52,42,93,74,6,2,0.3,1,"Fog, Rain",2,2015
115,2015-02-05,252,12,59,48,86,78,8,7,0.87,2,Rain,2,2015
