Date,Bike_rented,Temp,Humidity,Visibility_Miles,Wind_Speed_MPH,Events_num
01/01/2015 00:00,208,1,70,10,0,3
02/01/2015 00:00,40,3,76,10,4,3
03/01/2015 00:00,150,3,84,7,2,3
04/01/2015 00:00,16,8,84,8,7,3
05/01/2015 00:00,32,13,81,8,14,3
06/01/2015 00:00,92,10,84,7,2,0
07/01/2015 00:00,90,8,85,5,2,3
08/01/2015 00:00,138,6,82,6,3,0
09/01/2015 00:00,106,6,86,4,2,1
10/01/2015 00:00,80,7,88,3,1,3
11/01/2015 00:00,54,8,85,5,1,1
12/01/2015 00:00,58,9,78,10,1,3
13/01/2015 00:00,66,6,80,9,2,3
14/01/2015 00:00,66,5,77,7,3,3
15/01/2015 00:00,28,5,73,9,3,3
16/01/2015 00:00,126,10,71,10,8,3
17/01/2015 00:00,116,7,84,6,1,3
18/01/2015 00:00,50,12,73,9,14,3
19/01/2015 00:00,192,9,76,10,5,3
20/01/2015 00:00,44,7,76,10,1,3
21/01/2015 00:00,64,4,81,6,1,0
22/01/2015 00:00,44,8,81,9,1,3
23/01/2015 00:00,42,12,84,8,6,3
24/01/2015 00:00,194,14,82,10,7,3
25/01/2015 00:00,270,13,77,10,3,3
26/01/2015 00:00,152,12,77,7,4,0
27/01/2015 00:00,48,11,83,6,6,3
28/01/2015 00:00,88,10,76,10,2,3
29/01/2015 00:00,56,8,71,10,1,3
30/01/2015 00:00,84,6,85,3,1,0
31/01/2015 00:00,190,5,83,4,1,0
01/02/2015 00:00,120,8,82,7,5,3
02/02/2015 00:00,28,10,79,7,5,3
03/02/2015 00:00,38,8,83,8,5,1
04/02/2015 00:00,48,8,84,6,2,1
05/02/2015 00:00,32,12,83,8,7,3
06/02/2015 00:00,52,13,78,8,10,3
07/02/2015 00:00,80,12,81,8,6,3
08/02/2015 00:00,188,12,72,10,5,3
09/02/2015 00:00,64,11,80,9,4,3
10/02/2015 00:00,46,11,73,10,9,3
11/02/2015 00:00,44,10,78,10,1,3
12/02/2015 00:00,80,16,70,10,4,3
13/02/2015 00:00,192,12,80,10,1,3
14/02/2015 00:00,506,12,75,10,2,3
15/02/2015 00:00,440,8,72,10,3,3
16/02/2015 00:00,208,11,63,10,4,3
17/02/2015 00:00,144,11,57,10,1,3
18/02/2015 00:00,98,8,67,10,5,3
19/02/2015 00:00,64,10,79,9,2,3
20/02/2015 00:00,110,11,77,8,0,3
21/02/2015 00:00,476,10,67,10,3,3
22/02/2015 00:00,296,7,62,10,1,3
23/02/2015 00:00,130,6,57,10,1,3
24/02/2015 00:00,108,7,62,10,3,3
25/02/2015 00:00,46,9,79,8,3,3
26/02/2015 00:00,66,10,81,8,2,3
27/02/2015 00:00,56,10,75,9,4,3
28/02/2015 00:00,500,8,47,10,5,3
01/03/2015 00:00,286,6,56,10,3,3
02/03/2015 00:00,74,9,58,10,6,3
03/03/2015 00:00,70,5,53,10,3,3
04/03/2015 00:00,116,6,49,10,2,3
05/03/2015 00:00,70,8,55,10,3,3
06/03/2015 00:00,156,9,63,10,1,3
07/03/2015 00:00,570,10,66,10,2,3
08/03/2015 00:00,564,10,67,10,1,3
09/03/2015 00:00,154,9,73,10,3,3
10/03/2015 00:00,148,10,76,5,4,1
11/03/2015 00:00,150,13,75,10,6,3
12/03/2015 00:00,200,15,66,10,8,3
13/03/2015 00:00,208,15,63,10,2,3
14/03/2015 00:00,240,14,76,8,7,3
15/03/2015 00:00,16,10,84,5,4,3
16/03/2015 00:00,174,11,71,10,4,3
17/03/2015 00:00,140,10,73,10,3,3
